anime_id,Name,Genre
204,Yumeria,Comedy
204,Yumeria,Ecchi
205,Samurai Champloo,Action
205,Samurai Champloo,Adventure
205,Samurai Champloo,Comedy
206,Lodoss-tou Senki: Eiyuu Kishi Den,Action
206,Lodoss-tou Senki: Eiyuu Kishi Den,Adventure
206,Lodoss-tou Senki: Eiyuu Kishi Den,Drama
206,Lodoss-tou Senki: Eiyuu Kishi Den,Fantasy
206,Lodoss-tou Senki: Eiyuu Kishi Den,Romance
207,Lodoss-tou Senki,Action
207,Lodoss-tou Senki,Adventure
207,Lodoss-tou Senki,Fantasy
208,R.O.D: Read or Die,Action
208,R.O.D: Read or Die,Adventure
208,R.O.D: Read or Die,Mystery
208,R.O.D: Read or Die,Sci-Fi
209,R.O.D: The TV,Action
209,R.O.D: The TV,Adventure
209,R.O.D: The TV,Comedy
209,R.O.D: The TV,Drama
209,R.O.D: The TV,Sci-Fi
210,Ranma ½,Action
210,Ranma ½,Comedy
210,Ranma ½,Fantasy
211,Pure Mail,Hentai
212,Project A-Ko,Action
212,Project A-Ko,Adventure
212,Project A-Ko,Comedy
212,Project A-Ko,Sci-Fi
213,Pia Carrot e Youkoso!!,Comedy
213,Pia Carrot e Youkoso!!,Hentai
214,Pia Carrot e Youkoso!! 2,Comedy
214,Pia Carrot e Youkoso!! 2,Romance
214,Pia Carrot e Youkoso!! 2,Hentai
215,Pia Carrot e Youkoso!! 2 DX,Comedy
215,Pia Carrot e Youkoso!! 2 DX,Romance
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,Comedy
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,Romance
217,Shin Angel,Comedy
217,Shin Angel,Drama
217,Shin Angel,Romance
217,Shin Angel,Hentai
218,Kidou Senkan Nadesico,Action
218,Kidou Senkan Nadesico,Romance
218,Kidou Senkan Nadesico,Sci-Fi
219,Kidou Senkan Nadesico: The Prince of Darkness,Action
219,Kidou Senkan Nadesico: The Prince of Darkness,Award Winning
219,Kidou Senkan Nadesico: The Prince of Darkness,Drama
219,Kidou Senkan Nadesico: The Prince of Darkness,Sci-Fi
220,Kuro no Danshou,Horror
220,Kuro no Danshou,Hentai
221,Mezzo Forte,Action
221,Mezzo Forte,Comedy
221,Mezzo Forte,Sci-Fi
221,Mezzo Forte,Hentai
222,Mezzo DSA,Action
222,Mezzo DSA,Adventure
222,Mezzo DSA,Comedy
222,Mezzo DSA,Mystery
222,Mezzo DSA,Sci-Fi
223,Dragon Ball,Action
223,Dragon Ball,Adventure
223,Dragon Ball,Comedy
223,Dragon Ball,Fantasy
225,Dragon Ball GT,Action
225,Dragon Ball GT,Adventure
225,Dragon Ball GT,Comedy
225,Dragon Ball GT,Fantasy
226,Elfen Lied,Action
226,Elfen Lied,Drama
226,Elfen Lied,Horror
226,Elfen Lied,Romance
226,Elfen Lied,Supernatural
227,FLCL,Action
227,FLCL,Avant Garde
227,FLCL,Comedy
227,FLCL,Sci-Fi
228,Jigoku Shoujo,Horror
228,Jigoku Shoujo,Mystery
228,Jigoku Shoujo,Supernatural
229,Ninin ga Shinobuden,Comedy
230,Air Master,Action
230,Air Master,Comedy
231,Asagiri no Miko,Action
231,Asagiri no Miko,Comedy
231,Asagiri no Miko,Fantasy
231,Asagiri no Miko,Supernatural
232,Cardcaptor Sakura,Adventure
232,Cardcaptor Sakura,Comedy
232,Cardcaptor Sakura,Drama
232,Cardcaptor Sakura,Fantasy
232,Cardcaptor Sakura,Romance
233,Daa! Daa! Daa!,Comedy
233,Daa! Daa! Daa!,Sci-Fi
234,Dan Doh!!,Adventure
234,Dan Doh!!,Sports
235,Detective Conan,Adventure
235,Detective Conan,Comedy
235,Detective Conan,Mystery
236,E's Otherwise,Adventure
236,E's Otherwise,Comedy
236,E's Otherwise,Drama
236,E's Otherwise,Sci-Fi
236,E's Otherwise,Supernatural
237,Koukyoushihen Eureka Seven,Adventure
237,Koukyoushihen Eureka Seven,Drama
237,Koukyoushihen Eureka Seven,Romance
237,Koukyoushihen Eureka Seven,Sci-Fi
238,Rekka no Honoo,Action
238,Rekka no Honoo,Adventure
239,Gankutsuou,Award Winning
239,Gankutsuou,Drama
239,Gankutsuou,Mystery
239,Gankutsuou,Sci-Fi
239,Gankutsuou,Supernatural
239,Gankutsuou,Suspense
240,Genshiken,Comedy
240,Genshiken,Slice of Life
241,Girls Bravo: First Season,Comedy
241,Girls Bravo: First Season,Fantasy
241,Girls Bravo: First Season,Romance
241,Girls Bravo: First Season,Ecchi
242,Gokusen,Comedy
242,Gokusen,Drama
242,Gokusen,Slice of Life
243,Gravitation,Boys Love
243,Gravitation,Comedy
244,Agatha Christie no Meitantei Poirot to Marple,Mystery
245,Great Teacher Onizuka,Comedy
246,Groove Adventure Rave,Adventure
246,Groove Adventure Rave,Comedy
246,Groove Adventure Rave,Fantasy
246,Groove Adventure Rave,Romance
247,Harukanaru Toki no Naka de: Hachiyou Shou,Fantasy
247,Harukanaru Toki no Naka de: Hachiyou Shou,Romance
248,Ichigo 100%,Comedy
248,Ichigo 100%,Romance
248,Ichigo 100%,Ecchi
249,InuYasha,Action
249,InuYasha,Adventure
249,InuYasha,Fantasy
249,InuYasha,Romance
250,Konjiki no Gash Bell!!,Adventure
250,Konjiki no Gash Bell!!,Comedy
250,Konjiki no Gash Bell!!,Supernatural
251,Kyou kara Maou!,Adventure
